STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
01089001;AMBERIEU;5,329;45,976;250;2020/02/16;0,0;7,7;16,0;21,0;200;13,5;190;212;3,0
01089001;AMBERIEU;5,329;45,976;250;2020/02/17;11,7;7,1;12,5;15,7;190;10,4;190;0;1,2
01089001;AMBERIEU;5,329;45,976;250;2020/02/18;0,6;-0,4;9,5;5,7;130;3,0;120;219;1,0
01089001;AMBERIEU;5,329;45,976;250;2020/02/19;2,8;1,9;7,5;6,0;130;4,1;200;13;0,7
01089001;AMBERIEU;5,329;45,976;250;2020/02/20;0,0;0,2;13,5;9,3;300;5,5;190;556;1,3
01089001;AMBERIEU;5,329;45,976;250;2020/02/21;0,0;3,7;10,5;9,4;360;6,8;350;500;1,8
01089001;AMBERIEU;5,329;45,976;250;2020/02/22;0,0;-2,9;15,5;5,8;250;3,9;230;589;1,6
01089001;AMBERIEU;5,329;45,976;250;2020/02/23;0,0;-1,0;19,8;5,2;130;3,4;220;468;2,1
01089001;AMBERIEU;5,329;45,976;250;2020/02/24;0,0;5,5;18,8;5,3;200;3,8;200;589;1,9
01089001;AMBERIEU;5,329;45,976;250;2020/02/25;5,8;1,5;11,6;11,1;260;5,9;190;52;1,0
01089001;AMBERIEU;5,329;45,976;250;2020/02/26;0,6;2,8;7,3;15,1;300;9,1;310;184;1,6
01089001;AMBERIEU;5,329;45,976;250;2020/02/27;3,8;0,2;7,3;18,3;180;9,2;170;37;1,0
01089001;AMBERIEU;5,329;45,976;250;2020/02/28;0,0;-2,9;11,4;12,4;180;5,4;170;522;1,5
01089001;AMBERIEU;5,329;45,976;250;2020/02/29;5,8;7,0;13,8;19,4;190;11,5;190;6;2,6
01089001;AMBERIEU;5,329;45,976;250;2020/03/01;2,8;6,6;14,1;18,4;180;11,3;190;303;2,5
01089001;AMBERIEU;5,329;45,976;250;2020/03/02;28,9;4,5;8,9;14,6;180;8,0;170;0;0,7
01089001;AMBERIEU;5,329;45,976;250;2020/03/03;0,4;0,1;9,8;7,2;350;4,8;10;458;1,4
01089001;AMBERIEU;5,329;45,976;250;2020/03/04;5,0;1,5;10,0;10,5;190;5,5;170;275;1,5
01089001;AMBERIEU;5,329;45,976;250;2020/03/05;23,8;5,6;10,3;16,9;180;9,3;230;0;0,9
01089001;AMBERIEU;5,329;45,976;250;2020/03/06;0,2;2,5;9,4;11,7;240;6,0;240;118;1,7
01089001;AMBERIEU;5,329;45,976;250;2020/03/07;0,0;1,7;9,0;9,9;10;5,8;350;190;1,6
01089001;AMBERIEU;5,329;45,976;250;2020/03/08;6,9;-2,4;13,7;7,6;220;5,2;190;478;1,7
01089001;AMBERIEU;5,329;45,976;250;2020/03/09;7,9;3,2;8,9;12,9;20;7,4;30;185;1,1
01089001;AMBERIEU;5,329;45,976;250;2020/03/10;4,0;1,2;7,9;8,8;180;5,3;200;0;0,3
01089001;AMBERIEU;5,329;45,976;250;2020/03/11;0,0;6,5;18,9;5,1;130;3,0;120;447;2,1
01089001;AMBERIEU;5,329;45,976;250;2020/03/12;1,0;4,3;16,0;8,5;10;5,7;10;120;1,3
