POSTE;NOM;LON;LAT;ALT;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
76116001;ROUEN-BOOS;1.182;49.383;151;15/02/2020;3,8;6,9;13,6;20,9;200;13,6;210;;1,4
76116001;ROUEN-BOOS;1.182;49.383;151;16/02/2020;5,3;7,6;16,1;31,2;220;19,6;220;;1,5
76116001;ROUEN-BOOS;1.182;49.383;151;17/02/2020;1,2;5,3;11,4;19,6;250;12,3;240;;1,9
76116001;ROUEN-BOOS;1.182;49.383;151;18/02/2020;5,6;1,9;10,9;16,7;270;10,2;260;;1,3
76116001;ROUEN-BOOS;1.182;49.383;151;19/02/2020;1,4;2,9;9,6;12,6;280;7,7;240;;0,6
76116001;ROUEN-BOOS;1.182;49.383;151;20/02/2020;4,2;5,4;13,2;28,1;210;12,8;220;;1,8
76116001;ROUEN-BOOS;1.182;49.383;151;21/02/2020;0,2;0,1;10,8;12,7;220;8,6;220;;1
76116001;ROUEN-BOOS;1.182;49.383;151;22/02/2020;1;2,5;10,9;12,8;220;9,3;220;;0,1
76116001;ROUEN-BOOS;1.182;49.383;151;23/02/2020;8,3;9,5;12,3;19,2;250;12,1;220;;0,6
76116001;ROUEN-BOOS;1.182;49.383;151;24/02/2020;4,6;8,6;13,2;17;230;11,3;230;;1
76116001;ROUEN-BOOS;1.182;49.383;151;25/02/2020;5,2;5,9;9,7;21,9;270;10,8;250;;1,5
76116001;ROUEN-BOOS;1.182;49.383;151;26/02/2020;15;0,9;8;18;270;10,3;300;127;1,1
76116001;ROUEN-BOOS;1.182;49.383;151;27/02/2020;7,8;1,6;9,2;23,9;320;15,4;320;36;1,2
76116001;ROUEN-BOOS;1.182;49.383;151;28/02/2020;4,4;-1,1;10,3;13,3;160;9,2;160;0;0
76116001;ROUEN-BOOS;1.182;49.383;151;29/02/2020;1,2;5,2;10,9;26,1;240;15,6;200;105;1,7
76116001;ROUEN-BOOS;1.182;49.383;151;01/03/2020;3,4;3,2;7,7;16,3;230;9,5;220;20;0,9
76116001;ROUEN-BOOS;1.182;49.383;151;02/03/2020;8,1;3,4;8,6;17,1;300;9,2;310;26;0,8
76116001;ROUEN-BOOS;1.182;49.383;151;03/03/2020;2,2;0,2;8,8;11,6;310;6,9;330;114;0,9
76116001;ROUEN-BOOS;1.182;49.383;151;04/03/2020;4,8;1;8,3;11,2;150;7;150;11;0,2
76116001;ROUEN-BOOS;1.182;49.383;151;05/03/2020;20,4;6,2;13,6;20,4;290;13,2;300;38;1,2
76116001;ROUEN-BOOS;1.182;49.383;151;06/03/2020;0;4,3;9,9;12,1;300;8,2;300;153;1,7
76116001;ROUEN-BOOS;1.182;49.383;151;07/03/2020;0;0,6;11;9,1;160;7,1;190;131;0,7
76116001;ROUEN-BOOS;1.182;49.383;151;08/03/2020;7,4;6,7;11,7;16;260;11,1;240;28;1,3
76116001;ROUEN-BOOS;1.182;49.383;151;09/03/2020;7,4;5,2;11,5;15,9;290;9,2;200;198;1,7
76116001;ROUEN-BOOS;1.182;49.383;151;10/03/2020;3,4;6,2;13,7;14;270;9,3;210;0;0,1
76116001;ROUEN-BOOS;1.182;49.383;151;11/03/2020;0,4;11,6;14,5;18,4;190;10,9;190;7;1,7
76116001;ROUEN-BOOS;1.182;49.383;151;12/03/2020;0,8;6,6;11,5;19,5;280;11,3;280;227;2,4
76116001;ROUEN-BOOS;1.182;49.383;151;13/03/2020;2,8;3,4;12,2;11,9;290;7,2;250;294;1,9
76116001;ROUEN-BOOS;1.182;49.383;151;14/03/2020;2,4;4,1;12,3;10,1;220;7,7;210;40;0,9
76116001;ROUEN-BOOS;1.182;49.383;151;15/03/2020;0;5,2;14,7;13;200;10,2;180;62;2
76116001;ROUEN-BOOS;1.182;49.383;151;16/03/2020;0,2;3,4;10,6;5,8;340;4,4;330;20;0,8
76116001;ROUEN-BOOS;1.182;49.383;151;17/03/2020;0,2;0,2;16,1;6,2;160;4,1;170;463;1,6
76116001;ROUEN-BOOS;1.182;49.383;151;18/03/2020;0;4,5;19,3;8,9;230;5,8;170;361;2,4
76116001;ROUEN-BOOS;1.182;49.383;151;19/03/2020;0;5;18,4;7,9;60;5,9;60;403;2,4
76116001;ROUEN-BOOS;1.182;49.383;151;20/03/2020;2,2;6,9;9,7;13,9;20;9,8;30;0;0,8
76116001;ROUEN-BOOS;1.182;49.383;151;21/03/2020;0;4,6;8,1;12,7;30;8,8;60;0;1,3
76116001;ROUEN-BOOS;1.182;49.383;151;22/03/2020;0;3,4;10,7;14,6;70;10,4;70;207;2,9
76116001;ROUEN-BOOS;1.182;49.383;151;23/03/2020;0;0,7;11,4;14;110;9;50;508;3,3
76116001;ROUEN-BOOS;1.182;49.383;151;24/03/2020;0;-1,5;13,7;8,1;50;6,1;30;512;3,1
76116001;ROUEN-BOOS;1.182;49.383;151;25/03/2020;0;-1,2;12,1;9,5;330;6,2;350;517;3
76116001;ROUEN-BOOS;1.182;49.383;151;26/03/2020;0;0,7;10,7;12,1;50;8,4;50;520;3,2
76116001;ROUEN-BOOS;1.182;49.383;151;27/03/2020;0;1,3;12,5;13,6;30;7,2;350;491;2,5
76116001;ROUEN-BOOS;1.182;49.383;151;28/03/2020;0;3,9;15,7;19,2;10;11,8;20;516;3,1
76116001;ROUEN-BOOS;1.182;49.383;151;29/03/2020;0;3,5;8,7;20,6;20;13,5;30;280;3,8
76116001;ROUEN-BOOS;1.182;49.383;151;30/03/2020;0;-0,7;9,9;15,6;70;10,8;40;474;3
76116001;ROUEN-BOOS;1.182;49.383;151;31/03/2020;0;1,9;11,2;11,6;40;8,3;50;338;2,7
76217001;DIEPPE;1.089;49.932;38;01/01/2020;0,2;-0,3;5,2;10,3;170;6,1;170;;
76217001;DIEPPE;1.089;49.932;38;02/01/2020;0,6;4,2;10,5;11;180;6,3;190;;
76217001;DIEPPE;1.089;49.932;38;03/01/2020;1;8,6;10,6;14;260;8,8;250;;
76217001;DIEPPE;1.089;49.932;38;04/01/2020;0;3,7;9,5;14;310;10,3;320;;
76217001;DIEPPE;1.089;49.932;38;05/01/2020;0;7,1;9,1;8,5;280;4,7;270;;
76217001;DIEPPE;1.089;49.932;38;06/01/2020;0;1,8;9,9;14,5;240;8,4;250;;
76217001;DIEPPE;1.089;49.932;38;07/01/2020;0;6,8;13,2;12,6;200;6,7;190;;
76217001;DIEPPE;1.089;49.932;38;08/01/2020;1,2;11;13,1;12,4;220;6,2;210;;
76217001;DIEPPE;1.089;49.932;38;09/01/2020;3,8;11,4;13,4;16,2;200;8,6;190;;
76217001;DIEPPE;1.089;49.932;38;10/01/2020;0;7,2;8,3;14,1;340;9,6;320;;
76217001;DIEPPE;1.089;49.932;38;11/01/2020;0;5;9,1;12,8;180;6,1;180;;
76217001;DIEPPE;1.089;49.932;38;12/01/2020;0;6,6;12,1;15,3;240;8,7;250;;
76217001;DIEPPE;1.089;49.932;38;13/01/2020;6,2;5,3;11,6;20,4;160;10,4;190;;
