STATION;NOM;LONGITUDE;LATITUDE;ALTITUDE;DATE;RR;TN;TX;FXI;DXI;FXY;DXY;INST;ETPMON
46127001;GOURDON;1.397;44.745;260;2020/02/24;0.0;0.3;19.1;5.6;200;2.9;220;478;1.6
46127001;GOURDON;1.397;44.745;260;2020/02/25;10.0;5.7;13.6;11.2;290;6.3;190;87;1.2
46127001;GOURDON;1.397;44.745;260;2020/02/26;4.0;4.2;10.0;14.7;290;6.0;300;126;1.6
46127001;GOURDON;1.397;44.745;260;2020/02/27;7.3;5.0;12.9;18.1;300;8.3;200;66;0.8
46127001;GOURDON;1.397;44.745;260;2020/02/28;0.2;2.7;10.7;9.5;130;6.3;140;30;0.3
46127001;GOURDON;1.397;44.745;260;2020/02/29;0.4;8.8;13.9;14.6;140;7.6;140;11;1.8
46127001;GOURDON;1.397;44.745;260;2020/03/01;10.7;7.7;14.2;20.8;280;9.2;260;212;2.2
46127001;GOURDON;1.397;44.745;260;2020/03/02;7.8;6.7;9.3;17.8;250;8.2;290;133;1.4
46127001;GOURDON;1.397;44.745;260;2020/03/03;7.9;2.6;6.5;8.6;130;4.8;190;53;0.4
46127001;GOURDON;1.397;44.745;260;2020/03/04;2.8;3.1;11.7;7.5;200;5.0;200;4;0.6
46127001;GOURDON;1.397;44.745;260;2020/03/05;13.1;8.1;12.0;20.5;280;8.2;270;23;0.9
46127001;GOURDON;1.397;44.745;260;2020/03/06;6.1;4.5;9.4;16.0;300;8.3;290;91;1.3
46127001;GOURDON;1.397;44.745;260;2020/03/07;0.0;2.3;12.2;8.2;320;3.7;300;313;1.6
46127001;GOURDON;1.397;44.745;260;2020/03/08;7.1;3.5;12.3;9.9;280;4.5;300;46;0.9
46127001;GOURDON;1.397;44.745;260;2020/03/09;2.8;5.6;12.2;12.5;290;6.4;290;138;1.6
46127001;GOURDON;1.397;44.745;260;2020/03/10;0.2;6.3;13.3;7.9;270;3.7;260;5;0.9
46127001;GOURDON;1.397;44.745;260;2020/03/11;0.2;9.3;14.8;4.0;220;2.3;130;62;1.4
46127001;GOURDON;1.397;44.745;260;2020/03/12;0.8;5.0;15.5;7.3;260;3.9;290;94;1.2
46127001;GOURDON;1.397;44.745;260;2020/03/13;0.0;3.5;13.6;7.8;330;4.6;320;621;2.2
46127001;GOURDON;1.397;44.745;260;2020/03/14;0.0;-0.1;13.3;6.5;310;3.1;320;355;1.8
46127001;GOURDON;1.397;44.745;260;2020/03/15;2.4;1.6;19.5;15.1;140;8.0;140;610;2.7
46127001;GOURDON;1.397;44.745;260;2020/03/16;0.4;10.0;13.8;13.6;130;7.9;130;3;2.0
46127001;GOURDON;1.397;44.745;260;2020/03/17;0.0;8.0;16.6;7.8;120;4.2;120;234;2.2
46127001;GOURDON;1.397;44.745;260;2020/03/18;0.0;4.4;21.0;4.4;340;3.2;120;630;2.2
46127001;GOURDON;1.397;44.745;260;2020/03/19;0.0;8.2;22.2;8.9;130;5.2;130;458;4.0
46127001;GOURDON;1.397;44.745;260;2020/03/20;0.0;11.3;20.6;15.8;160;8.8;130;580;5.5
46127001;GOURDON;1.397;44.745;260;2020/03/21;0.0;8.8;20.1;8.3;90;4.6;90;666;3.6
46127001;GOURDON;1.397;44.745;260;2020/03/22;0.0;5.8;19.5;11.5;160;6.5;150;656;3.2
46127001;GOURDON;1.397;44.745;260;2020/03/23;0.0;8.3;18.7;8.9;130;5.1;140;467;3.0
46127001;GOURDON;1.397;44.745;260;2020/03/24;0.0;4.8;17.8;9.6;140;5.6;160;490;2.8
46127001;GOURDON;1.397;44.745;260;2020/03/25;0.0;4.2;15.7;8.9;120;4.1;130;683;3.3
46127001;GOURDON;1.397;44.745;260;2020/03/26;0.0;2.0;11.9;11.2;120;7.3;130;257;2.0
46127001;GOURDON;1.397;44.745;260;2020/03/27;0.0;-1.5;15.6;7.3;340;4.0;330;588;2.4
46127001;GOURDON;1.397;44.745;260;2020/03/28;0.0;0.6;18.7;6.1;290;3.2;320;686;2.6
46127001;GOURDON;1.397;44.745;260;2020/03/29;0.4;2.2;12.5;14.2;350;7.9;10;210;2.2
46127001;GOURDON;1.397;44.745;260;2020/03/30;6.7;0.4;3.6;8.2;360;4.3;30;0;0.3
46127001;GOURDON;1.397;44.745;260;2020/03/31;0.0;1.8;16.6;8.1;70;4.6;50;544;2.4
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/01;0.0;2.1;9.0;5.5;120;4.0;120;0;0.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/02;0.0;2.5;10.0;8.6;110;6.2;110;313;0.6
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/03;0.6;0.9;9.0;4.5;290;3.2;110;3;0.1
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/04;0.0;6.1;10.0;6.3;290;4.3;310;17;0.3
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/05;0.0;-0.7;4.6;4.3;140;3.1;90;78;0.2
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/06;0.0;0.4;11.4;6.4;100;3.9;130;257;0.5
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/07;0.0;5.1;11.4;4.8;120;3.5;110;115;0.5
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/08;0.0;4.1;11.8;5.6;80;3.6;120;44;0.6
47091001;AGEN-LA GARENNE;0.595;44.172;58;2020/01/09;2.8;3.3;15.9;9.5;170;6.0;170;385;0.7
